2021;Francja;2;Hiszpania;1
2017;Francja;0;Hiszpania;2
2014;Francja;1;Hiszpania;0
2013;Francja;0;Hiszpania;1
2012;Francja;1;Hiszpania;1
2012;Francja;0;Hiszpania;2
2010;Francja;0;Hiszpania;2
2008;Francja;0;Hiszpania;1
2006;Francja;3;Hiszpania;1
2001;Francja;1;Hiszpania;2
2000;Francja;2;Hiszpania;1
1998;Francja;1;Hiszpania;0
1996;Francja;1;Hiszpania;1
1991;Francja;2;Hiszpania;1
1991;Francja;3;Hiszpania;1
1988;Francja;2;Hiszpania;1
1984;Francja;2;Hiszpania;0
1983;Francja;1;Hiszpania;1
1981;Francja;0;Hiszpania;1
1978;Francja;1;Hiszpania;0
1971;Francja;2;Hiszpania;2
1968;Francja;1;Hiszpania;3
1963;Francja;0;Hiszpania;0
1961;Francja;1;Hiszpania;1
1961;Francja;0;Hiszpania;2
1959;Francja;4;Hiszpania;3
1958;Francja;2;Hiszpania;2
1955;Francja;2;Hiszpania;1
1949;Francja;1;Hiszpania;5
1942;Francja;0;Hiszpania;4
1935;Francja;0;Hiszpania;2
1933;Francja;1;Hiszpania;0
1929;Francja;1;Hiszpania;8
1927;Francja;1;Hiszpania;4
1923;Francja;0;Hiszpania;3
1922;Francja;0;Hiszpania;4
